protocol, port, name
TCP/UDP,0,Reserved
TCP/UDP,1,Port Service Multiplexer
TCP/UDP,2,Management Utility
TCP/UDP,3,Compression Process
TCP/UDP,4,Unassigned
TCP/UDP,5,Remote Job Entry
TCP/UDP,6,Unassigned
TCP/UDP,7,Echo
TCP/UDP,8,Unassigned
TCP/UDP,9,Discard
TCP/UDP,10,Unassigned
TCP/UDP,11,Active Users
TCP/UDP,12,Unassigned
TCP/UDP,13,Daytime (RFC 867)
TCP/UDP,14,Unassigned
TCP/UDP,15,Unassigned
TCP/UDP,16,Unassigned
TCP/UDP,17,Quote of the Day
TCP/UDP,18,Message Send Protocol
TCP/UDP,19,Character Generator
TCP/UDP,20,File Transfer Protocol - Data
TCP/UDP,21,File Transfer Protocol - Control
TCP/UDP,22,SSH/SFTP
TCP/UDP,23,Telnet
TCP/UDP,24,Any private mail system
TCP/UDP,25,Simple Mail Transfer Protocol
TCP/UDP,26,Unassigned
TCP/UDP,27,NSW User System FE
TCP/UDP,28,Unassigned
TCP/UDP,29,MSG ICP
TCP/UDP,30,Unassigned
TCP/UDP,31,MSG Authentication
TCP/UDP,32,Unassigned
TCP/UDP,33,Display Support Protocol
TCP/UDP,34,Unassigned
TCP/UDP,35,any private printer server
TCP/UDP,36,Unassigned
TCP/UDP,37,Time / W32.Sober.I virus
TCP/UDP,38,Route Access Protocol
TCP/UDP,39,Resource Location Protocol
TCP/UDP,40,Unassigned
TCP/UDP,41,Graphics
TCP/UDP,42,Host Name Server
TCP/UDP,43,WhoIs
TCP/UDP,44,MPM FLAGS Protocol
TCP/UDP,45,Message Processing Module [recv]
TCP/UDP,46,MPM [default send]
TCP/UDP,47,NI FTP
TCP/UDP,48,Digital Audit Daemon
TCP/UDP,49,Login Host Protocol (TACACS)
TCP/UDP,50,Remote Mail Checking Protocol
TCP/UDP,51,IMP Logical Address Maintenance
TCP/UDP,52,XNS Time Protocol
TCP/UDP,53,Domain Name Server
TCP/UDP,54,XNS Clearinghouse
TCP/UDP,55,ISI Graphics Language
TCP/UDP,56,XNS Authentication
TCP/UDP,57,any private terminal access
TCP/UDP,58,XNS Mail
TCP/UDP,59,any private file service
TCP/UDP,60,Unassigned
TCP/UDP,61,NI MAIL
TCP/UDP,62,ACA Services
TCP/UDP,63,whois++
TCP/UDP,64,Communications Integrator (CI)
TCP/UDP,65,TACACS-Database Service
TCP/UDP,66,Oracle SQL*NET
TCP/UDP,67,Bootstrap Protocol Server
TCP/UDP,68,Bootstrap Protocol Client
TCP/UDP,69,Trivial File Transfer
TCP/UDP,70,Gopher
TCP/UDP,71,Remote Job Service
TCP/UDP,72,Remote Job Service
TCP/UDP,73,Remote Job Service
TCP/UDP,74,Remote Job Service
TCP/UDP,75,any private dial out service
TCP/UDP,76,Distributed External Object Store
TCP/UDP,77,any private RJE service
TCP/UDP,78,vettcp
TCP/UDP,79,Finger
TCP/UDP,80,HTTP
TCP/UDP,81,HOSTS2 Name Server / Bagle-AZ worm / Win32.Rbot worm
TCP/UDP,82,XFER Utility
TCP/UDP,83,MIT ML Device
TCP/UDP,84,Common Trace Facility
TCP/UDP,85,MIT ML Device
TCP/UDP,86,Micro Focus Cobol
TCP/UDP,87,any private terminal link
TCP/UDP,88,Kerberos
TCP/UDP,89,SU/MIT Telnet Gateway
TCP/UDP,90,DNSIX Securit Attribute Token Map
TCP/UDP,91,MIT Dover Spooler
TCP/UDP,92,Network Printing Protocol
TCP/UDP,93,Device Control Protocol
TCP/UDP,94,Tivoli Object Dispatcher
TCP/UDP,95,SUPDUP
TCP/UDP,96,DIXIE Protocol Specification
TCP/UDP,97,Swift Remote Virtural File Protocol
TCP/UDP,98,Linuxconf / TAC News
TCP/UDP,99,Metagram Relay
TCP,100,[unauthorized use]
TCP/UDP,101,NIC Host Name Server
